Gene.symbol,Gene.ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
WDR60,55112,-0.053077329,2.944430849,-9.793611772,5.06E-05,0.00145936,1.960508858
DCUN1D4,23142,-0.053079745,3.018979821,-6.694891394,4.53E-04,0.004441335,-0.528194165
BBS7,55212,-0.053087114,2.99518639,-5.499581383,0.001323576,0.007516946,-1.739365548
ZNF724,440519,-0.053107106,2.800399478,-2.602785194,0.039017742,0.06974328,-5.463361654
MRPL57,78988,-0.053120816,2.961177981,-6.373022252,5.96E-04,0.005097896,-0.837735375
GANC///CAPN3,2595///825,-0.053129356,2.930113461,-6.803756202,4.14E-04,0.004241509,-0.426068139
ATXN3///ATXN8///ATXN3,4287///724066///4287,-0.053157526,3.254162912,-7.996020084,1.65E-04,0.002774007,0.615063821
LCMT2,9836,-0.053171454,3.032602787,-5.244379469,0.001700062,0.008594139,-2.021178605
MTMR3,8897,-0.053184791,2.959013672,-8.017282685,1.63E-04,0.002745565,0.632442011
MIS12,79003,-0.05321739,3.094102794,-6.283493993,6.44E-04,0.005274987,-0.925914306
TRAPPC8,22878,-0.05325027,3.263964669,-8.050182944,1.59E-04,0.002700436,0.659255616
TBCA,6902,-0.053325823,3.118097398,-5.082773968,0.002000727,0.009388284,-2.204205009
LRRC37A2///LRRC37A3///LRRC37A,474170///374819///9884,-0.053355167,3.058799648,-5.724240896,0.001068902,0.006747516,-1.49838328
EXOSC3,51010,-0.053377318,2.973097503,-5.112128085,0.001941918,0.009243902,-2.170692321
GNPAT,8443,-0.053382623,3.322057354,-9.015443074,8.24E-05,0.001912559,1.407090283
TTPAL,79183,-0.053387484,2.903137466,-5.081320962,0.00200369,0.009392249,-2.205866967
TMEM236,653567,-0.05342245,2.798276433,-3.256416266,0.016339321,0.036574758,-4.530722588
TMEM236,653567,-0.05342245,2.798276433,-3.256416266,0.016339321,0.036574758,-4.530722588
SLAMF6,114836,-0.053440238,3.209167162,-7.108736758,3.24E-04,0.003764516,-0.146589129
TNFAIP8L1,126282,-0.053455538,3.229941941,-8.210163595,1.42E-04,0.002532982,0.788336438
HEATR3,55027,-0.053456926,2.980506084,-6.872192778,3.92E-04,0.004123543,-0.362513423
LINC00339,29092,-0.053465202,2.939570091,-7.18634073,3.04E-04,0.003669124,-0.076987528
PHF11,51131,-0.053472653,3.159713095,-4.744422588,0.002845693,0.011481795,-2.599227255
TGFBI,7045,-0.053481264,3.449008528,-13.75815679,6.57E-06,3.59E-04,4.26844495
PPM1M,132160,-0.053489142,3.228688098,-11.68674966,1.76E-05,7.47E-04,3.155391398
CXCL5,6374,-0.053506219,3.48437653,-8.400729411,1.24E-04,0.00233111,0.939336829
MYNN,55892,-0.053507597,2.948318346,-5.19653183,0.001783403,0.008798228,-2.074994455
NEK1,4750,-0.053508151,2.867376099,-5.224353764,0.001734395,0.008668368,-2.043664126
PCNX4,64430,-0.053538255,3.211043329,-6.730582375,4.40E-04,0.00439342,-0.494572355
BRIX1,55299,-0.053549649,3.091405672,-5.235887259,0.001714527,0.008622896,-2.030707257
PIN4,5303,-0.053671835,2.805941381,-4.804094916,0.002671213,0.011071746,-2.528380648
RNF5P1///RNF5,286140///6048,-0.05367762,3.014155149,-7.59635686,2.22E-04,0.003153787,0.281025103
RNF5P1///RNF5,286140///6048,-0.05367762,3.014155149,-7.59635686,2.22E-04,0.003153787,0.281025103
TTC1,7265,-0.05368115,3.088242907,-5.051132646,0.002066379,0.009557644,-2.240463005
PHF12,57649,-0.053724448,3.011131357,-8.481734003,1.18E-04,0.002283903,1.002637491
ABHD3,171586,-0.053738454,3.077960065,-5.017107331,0.002139703,0.009741358,-2.279608605
CRYZL1,9946,-0.053835141,2.920324275,-5.981048908,8.43E-04,0.006005718,-1.230772389
PIGH,5283,-0.053875329,2.841523923,-2.915298696,0.025555519,0.050878027,-5.013425774
ZNF254,9534,-0.05387721,2.970896785,-6.965576283,3.63E-04,0.003966328,-0.276582649
NXPE3,91775,-0.053886829,2.965471421,-6.400198503,5.82E-04,0.005016932,-0.811150837
LINC00341,79686,-0.053914818,2.872618541,-7.276589189,2.84E-04,0.003503604,0.003203954
CWF19L1,55280,-0.053976499,3.298483322,-11.16245613,2.32E-05,8.78E-04,2.843651691
MBLAC2,153364,-0.053987477,2.792854454,-3.711579815,0.009238514,0.024549888,-3.907179179
CHURC1-FNTB///CHURC1,100529261///91612,-0.053990546,3.237543431,-6.992988973,3.55E-04,0.003917079,-0.251529176
CEP97,79598,-0.054024623,3.066003436,-8.326320869,1.31E-04,0.002411804,0.880728182
PDSS2,57107,-0.054047649,2.96175953,-4.197852891,0.005202452,0.016872845,-3.272133328
SERAC1,84947,-0.05406504,3.029122837,-6.082517724,7.70E-04,0.005763099,-1.127275244
ARHGEF6,9459,-0.054194025,3.148958752,-6.974533709,3.60E-04,0.003948027,-0.268387618
NLRP2,55655,-0.054199566,2.996575036,-6.048001093,7.94E-04,0.005838646,-1.162341932
MSTO2P///MSTO1,100129405///55154,-0.054208876,2.935707735,-5.889433411,9.17E-04,0.006280679,-1.325299574
PRMT2,3275,-0.054229892,3.068620328,-5.443290867,0.001397729,0.00775578,-1.800778145
FAM114A1,92689,-0.054247517,3.144225047,-9.156234568,7.52E-05,0.001831164,1.510287836
ARHGAP35,2909,-0.054270299,3.020087154,-7.30964198,2.76E-04,0.003471799,0.03237388
AURKA,6790,-0.054292456,3.113757774,-4.42773883,0.004015117,0.014335562,-2.983812651
METTL7B,196410,-0.054344125,2.962359708,-5.290034145,0.001624622,0.008381332,-1.970120087
POP1,10940,-0.054373758,2.965281094,-5.36218104,0.001512994,0.008077685,-1.890008569
ZNF619,285267,-0.054381909,2.892527496,-5.088313125,0.001989477,0.009372116,-2.197871973
SLC25A36,55186,-0.054398234,3.129697486,-8.463769036,1.19E-04,0.002298944,0.988643779
C5,727,-0.054402492,2.962777264,-4.665584232,0.003096183,0.012171179,-2.69361287
DCP1B,196513,-0.054436205,3.173021938,-9.929048548,4.67E-05,0.001381576,2.052772616
METTL18,92342,-0.054441932,2.801802532,-4.429943352,0.004005306,0.014315732,-2.981085095
EXOC6B,23233,-0.054450511,3.065983382,-7.366348233,2.65E-04,0.003411914,0.082171989
ZNF587///ZNF587B///ZNF587,84914///100293516///84914,-0.054481843,3.085597082,-7.699675564,2.06E-04,0.003066813,0.368749151
NUSAP1,51203,-0.054491278,3.036179654,-4.911649791,0.002386273,0.010345642,-2.401967695
MBD4,8930,-0.054498627,3.381037288,-11.00351735,2.53E-05,9.25E-04,2.74642402
WDR3,10885,-0.054504312,2.900040327,-4.590552834,0.003357776,0.012775563,-2.784273697
PRICKLE3,4007,-0.054519086,2.980045421,-5.827022879,9.71E-04,0.006429869,-1.390288818
ATG4C,84938,-0.054552819,3.136819886,-5.224595336,0.001733977,0.008668368,-2.043392554
SMYD2,56950,-0.054590961,3.026844384,-9.013952587,8.25E-05,0.001912559,1.40599021
MED8,112950,-0.054678616,3.166207938,-6.079689197,7.72E-04,0.005763099,-1.130143449
COG2,22796,-0.054738821,3.068245806,-4.684290064,0.003034583,0.012006234,-2.671137183
ZNF41,7592,-0.054786662,2.990247992,-7.254051821,2.89E-04,0.00354855,-0.016746952
GPATCH11,253635,-0.054812236,3.024677362,-7.620228994,2.18E-04,0.00314822,0.301380815
ORC4,5000,-0.054825693,3.000893676,-4.568840773,0.003438033,0.012972094,-2.810660571
RRS1,23212,-0.054865342,3.081236886,-10.40987015,3.52E-05,0.001150161,2.371319957
TATDN1,83940,-0.054878364,2.935368771,-3.661146131,0.009825771,0.025553084,-3.97494613
DDX20,11218,-0.05492333,3.215419061,-8.962303502,8.53E-05,0.001927508,1.367770859
MIPEP,4285,-0.054935684,2.96487474,-5.608025673,0.001192938,0.00713923,-1.622226183
CENPBD1,92806,-0.055007714,3.049924686,-10.57012852,3.22E-05,0.001068798,2.474496337
LARP1B,55132,-0.055025328,2.935640235,-5.95699608,8.62E-04,0.006066597,-1.255489733
VPS36,51028,-0.055036994,3.21952232,-9.404484563,6.43E-05,0.001670483,1.688875936
SEMA4D,10507,-0.055074734,3.239392817,-5.668819815,0.001126129,0.006933347,-1.557225559
OGT,8473,-0.055075471,3.271989622,-7.454487017,2.47E-04,0.003307911,0.15896139
DTYMK,1841,-0.055097208,2.988927776,-7.442919576,2.50E-04,0.003321438,0.148925582
DTYMK,1841,-0.055097208,2.988927776,-7.442919576,2.50E-04,0.003321438,0.148925582
RANBP6,26953,-0.055101314,3.155606198,-6.123685501,7.42E-04,0.005648073,-1.085638588
SLX4IP,128710,-0.055124651,3.014420159,-6.591812748,4.94E-04,0.004611026,-0.626073881
ZMYM5,9205,-0.055146609,2.92876673,-5.797540624,9.98E-04,0.006520179,-1.421158627
HLA-DOA,3111,-0.055151904,3.101166145,-5.722825639,0.001070322,0.006749932,-1.499881023
KIAA0101,9768,-0.055161954,2.840581025,-3.037658716,0.02172674,0.045019925,-4.839017821
BTN3A1,11119,-0.055252806,3.193811685,-6.283396094,6.44E-04,0.005274987,-0.926011237
TMEM154,201799,-0.055262751,2.813648033,-4.432742625,0.003992886,0.01428045,-2.977622699
HERC2P4///HERC2P2///HERC2P3///HERC2,100289574///400322///283755///8924,-0.055287775,3.043967468,-3.83318502,0.007975619,0.022218941,-3.745221043
TXNDC17///TXNDC17,84817///84817,-0.055317954,2.886692005,-5.462511667,0.001371892,0.007673196,-1.779761278
C1GALT1C1,29071,-0.055321233,2.920232818,-2.800301839,0.029820357,0.057002196,-5.178375638
ADSS,159,-0.055329396,3.221526086,-5.61904654,0.0011805,0.007110399,-1.610407353
ZNF302,55900,-0.055372933,3.022352662,-7.602515276,2.21E-04,0.003153787,0.28628139
UTP23,84294,-0.055392292,3.179430864,-7.922704484,1.74E-04,0.002863621,0.554843352
RWDD4,201965,-0.055403143,3.236080743,-5.755668963,0.00103792,0.006655431,-1.465189057
ZBTB49,166793,-0.055404968,2.852633721,-3.533334147,0.011506726,0.028383596,-4.148213607
ZNF542P,147947,-0.055442837,2.937501816,-3.595389332,0.010654105,0.02695673,-4.063818325
SLC25A51,92014,-0.055513384,3.093466049,-5.567069034,0.001240479,0.00726696,-1.666286372
ZNF614,80110,-0.055517209,2.852992067,-7.046688001,3.40E-04,0.003835699,-0.202674873
FAM162A,26355,-0.055547291,3.140577914,-6.939308885,3.71E-04,0.004007197,-0.300662124
CDR2,1039,-0.055560664,3.082078492,-10.24384837,3.88E-05,0.00121966,2.262879716
TTC21B,79809,-0.055606335,2.874938378,-3.841736522,0.007894275,0.022072048,-3.733909499
GDPGP1,390637,-0.055631332,2.912665543,-9.303439528,6.85E-05,0.001739834,1.616696726
METTL6,131965,-0.055654003,3.072082947,-5.600990306,0.001200955,0.007160164,-1.629779171
COX15,1355,-0.055661686,3.252976456,-10.4919754,3.36E-05,0.001104029,2.424361988
ACTR5,79913,-0.055692224,2.934853704,-5.348962737,0.00153278,0.008132101,-1.90463365
ARRDC1-AS1,85026,-0.055703049,2.980776171,-12.66054099,1.09E-05,5.23E-04,3.700605072
STK16,8576,-0.055710033,2.982243874,-6.850825722,3.99E-04,0.00415166,-0.382303257
C2CD3,26005,-0.055765318,2.932814098,-5.022229382,0.00212848,0.0097113,-2.27370542
TMEM203,94107,-0.055786844,3.021112195,-11.23417021,2.23E-05,8.61E-04,2.887097062
B3GAT3,26229,-0.05580429,3.010931537,-5.917058331,8.94E-04,0.006198505,-1.296687761
DHRS4L1///DHRS4L2///DHRS4,728635///317749///10901,-0.055852019,3.171707765,-9.550612412,5.87E-05,0.001575548,1.79204413
ZNF836,162962,-0.055864455,3.001310749,-5.130317189,0.001906457,0.009141401,-2.149986277
Sep-03,55964,-0.055879892,2.950363278,-5.979165961,8.45E-04,0.006010905,-1.232704802
RNF20,56254,-0.055898823,3.194192955,-7.004983185,3.52E-04,0.003898138,-0.240591505
RUVBL1///RUVBL1,8607///8607,-0.055908731,3.01003599,-10.72095275,2.96E-05,0.001022463,2.570286511
PACRGL,133015,-0.055974704,3.052969457,-4.546171895,0.00352413,0.013205082,-2.838283267
TES,26136,-0.056009487,3.354983193,-8.799276788,9.50E-05,0.002035751,1.245854968
ZNF189,7743,-0.056027896,3.03644135,-7.440287617,2.50E-04,0.003322871,0.146640348
KLHDC8B,200942,-0.056045376,2.931828047,-5.694708823,0.001098975,0.006844936,-1.529689526
WDHD1,11169,-0.056103626,2.85796693,-4.716519859,0.002931648,0.011699454,-2.63253027
PPIG,9360,-0.05618616,3.082758133,-5.454069873,0.001383173,0.007713195,-1.788985878
LILRA5,353514,-0.056186443,3.0483373,-8.906644657,8.85E-05,0.001962155,1.326367388
VNN2,8875,-0.056229558,2.974659063,-4.748266298,0.002834076,0.011451411,-2.594648396
PHF7,51533,-0.056231656,2.852897022,-7.881312518,1.80E-04,0.002886796,0.520638356
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B,645784///400986///375248///57730,-0.056250968,3.103177623,-4.813436246,0.002645003,0.011016502,-2.51733616
ZNF417,147687,-0.056306286,3.012245745,-5.743135836,0.001050151,0.006696396,-1.478411472
SACS,26278,-0.056409218,2.885378095,-4.042108944,0.00622849,0.018940063,-3.471839636
PXK,54899,-0.056415145,3.305292952,-9.124531703,7.68E-05,0.001847191,1.487172964
SNRNP48,154007,-0.056416877,3.132142098,-6.963411802,3.64E-04,0.003966525,-0.278564146
BIN2,51411,-0.056435186,3.354730213,-9.648792079,5.53E-05,0.001539912,1.860568702
ZNF624,57547,-0.056455803,2.964906424,-4.961342883,0.002266307,0.010053622,-2.344115362
TXLNB,167838,-0.056470813,2.984790206,-4.146892081,0.005515852,0.017534131,-3.33709138
COG3,83548,-0.056612728,3.198421711,-8.589012201,1.09E-04,0.002194811,1.085674004
C2orf42,54980,-0.056659464,3.05999078,-9.60462916,5.68E-05,0.001559855,1.829823023
DHX40,79665,-0.056664365,2.965838324,-4.995133388,0.002188615,0.00986655,-2.304975352
ZNF93,81931,-0.056700594,2.913116925,-3.635444982,0.010140771,0.02606586,-4.009612966
LINC00921,283876,-0.05670408,2.783292878,-10.94471786,2.61E-05,9.45E-04,2.710121369
CCDC43,124808,-0.056798479,3.13004338,-9.095223493,7.82E-05,0.001863362,1.465740883
EPM2AIP1,9852,-0.056806237,3.092681982,-8.490304366,1.17E-04,0.002278428,1.009304353
FPR3,2359,-0.056813622,3.58165503,-14.08167668,5.71E-06,3.23E-04,4.427333646
RASL11B///RASL11B,65997///65997,-0.056817765,2.828614612,-4.809893226,0.00265491,0.011035105,-2.521523695
MRPL1,65008,-0.056822084,2.799511491,-3.827537399,0.008029849,0.022318705,-3.752697099
GTPBP10,85865,-0.056831834,3.214606612,-9.394942981,6.47E-05,0.001674749,1.682089746
ZNF805,390980,-0.056850727,3.077269132,-8.172007538,1.46E-04,0.002569444,0.757744614
ALOX5,240,-0.056894698,3.325993034,-11.49701801,1.95E-05,7.79E-04,3.044132757
ZW10,9183,-0.056944677,3.129340385,-5.662422965,0.001132955,0.006954501,-1.564042611
NCAPG,64151,-0.056952181,2.828812961,-3.654803595,0.009902492,0.025692995,-3.983492943
FAHD1,81889,-0.056952522,3.043327431,-3.546912919,0.01131394,0.028064513,-4.129703332
HNMT,3176,-0.056986527,3.057215258,-8.154732741,1.48E-04,0.002584823,0.743854632
CAMK2G,818,-0.057039676,2.898773648,-7.451136255,2.48E-04,0.003313755,0.156055601
CEP78,84131,-0.057039773,2.937384041,-6.544683518,5.14E-04,0.004707081,-0.671214818
TIGD6,81789,-0.057046717,2.832859156,-4.881369078,0.002462874,0.010530574,-2.43739145
MMP2,4313,-0.057051372,3.123540942,-8.825279652,9.33E-05,0.002022288,1.265432261
KCNE3,10008,-0.057122789,2.984049347,-9.232178197,7.17E-05,0.001782584,1.565372463
TAF1B,9014,-0.05713075,2.91029682,-4.722599737,0.002912673,0.011640308,-2.625264161
KIAA1841,84542,-0.057195347,2.988538146,-6.958637445,3.65E-04,0.003973127,-0.28293659
MYO19,80179,-0.057234712,2.962286034,-7.277889352,2.83E-04,0.003503604,0.004353391
FGD6,55785,-0.057250754,3.236996043,-10.21435439,3.94E-05,0.001234689,2.243446705
BTBD10,84280,-0.057312704,3.206637418,-7.526424283,2.34E-04,0.003225432,0.221090512
MRPL13,28998,-0.057376565,2.830768503,-6.787005623,4.20E-04,0.004284754,-0.441699342
JAKMIP2,9832,-0.057388858,3.34999995,-11.6548369,1.79E-05,7.52E-04,3.136798095
ZBTB37,84614,-0.05742396,2.875374094,-10.07079862,4.29E-05,0.001323211,2.148121732
CCDC58,131076,-0.057464827,2.931693019,-6.127416674,7.39E-04,0.005645589,-1.081874939
ZNF235,9310,-0.057471642,2.846396423,-6.872282435,3.92E-04,0.004123543,-0.362430485
SKA2,348235,-0.057499177,2.936259023,-4.694053727,0.003002978,0.011930308,-2.659425849
NEK3,4752,-0.057508442,2.788096733,-4.924091201,0.00235558,0.010268179,-2.387450783
ZKSCAN8,7745,-0.057523391,3.005576922,-4.929086558,0.002343382,0.010236326,-2.381628244
NFU1,27247,-0.057540757,3.090832088,-6.941838359,3.70E-04,0.004001571,-0.298340234
STEAP3,55240,-0.057557845,3.130512088,-6.82668607,4.07E-04,0.004200741,-0.404718862
ZFP3,124961,-0.057566133,2.824650655,-7.29528268,2.80E-04,0.003488798,0.019714494
PKD2,5311,-0.057581669,3.165798568,-9.905153332,4.73E-05,0.001398324,2.036577635
ZFAND1,79752,-0.057588838,3.117508389,-6.168656962,7.13E-04,0.0055574,-1.040386087
IFT46,56912,-0.05763158,3.145093587,-8.691368203,1.02E-04,0.00210836,1.164069536
CEP76,79959,-0.057634298,2.890523064,-5.356797765,0.001521017,0.008095238,-1.895961936
TERF1,7013,-0.05771807,3.150539479,-5.1675121,0.001836195,0.008948389,-2.107786678
GSPT2,23708,-0.057734939,3.041891491,-7.203284094,3.00E-04,0.003649848,-0.061871067
MCPH1,79648,-0.057758897,3.081053881,-9.131637639,7.64E-05,0.001843693,1.492360135
SMC6,79677,-0.057806588,3.156233194,-8.522191152,1.14E-04,0.002254576,1.034058255
CCDC77,84318,-0.057868139,2.949844616,-5.94305471,8.73E-04,0.00612624,-1.269848741
TTC14,151613,-0.057910621,3.024577196,-5.231312968,0.001722376,0.008630194,-2.035843899
RMDN2,151393,-0.057916692,2.849691499,-2.861439509,0.027465416,0.053688646,-5.090568812
SPHAR///RAB4A,10638///5867,-0.057931783,3.107798528,-5.435056502,0.001408966,0.00778729,-1.809796952
ARHGAP12,94134,-0.057962303,3.145687409,-8.748571462,9.82E-05,0.002077198,1.20753399
ARNTL,406,-0.057978474,3.225379274,-9.859663455,4.86E-05,0.001424442,2.005648714
MDM4,4194,-0.058024765,3.052416141,-6.263827027,6.55E-04,0.005314431,-0.945409141
BMPR1A,657,-0.058070684,3.040506534,-5.059226634,0.002049357,0.009518187,-2.231174784
ZNF570,148268,-0.058073724,2.893302044,-3.488396678,0.0121709,0.029595807,-4.209641247
ICE2,79664,-0.058130862,3.203651936,-7.513709755,2.36E-04,0.003225432,0.210144847
TXNDC9,10190,-0.058135357,3.083415019,-6.399767885,5.82E-04,0.005016932,-0.811571422
MRFAP1L1,114932,-0.058135524,3.118671533,-6.606076514,4.88E-04,0.00460191,-0.612460212
LOC100134822///LINC00266-1///PCMTD2,100134822///140849///55251,-0.058148556,3.054331514,-4.16859447,0.005379885,0.01725854,-3.309381868
NAA16,79612,-0.058238626,3.115858148,-7.683849835,2.08E-04,0.003067854,0.355375232
FAM102B,284611,-0.058307788,3.171903935,-8.769737365,9.68E-05,0.002066297,1.223553755
LOC728323///FBXO25,728323///26260,-0.058327895,3.281764729,-4.735246115,0.002873645,0.011547465,-2.610167398
ZDHHC6,64429,-0.058392177,3.185228322,-7.21940952,2.97E-04,0.003627528,-0.047510718
TRIM16,10626,-0.058414307,3.183778874,-5.660400774,0.001135123,0.006957646,-1.566198731
BORA,79866,-0.058485007,2.849535694,-7.118692058,3.21E-04,0.003753938,-0.137626711
SCRN3,79634,-0.058531012,3.081133217,-5.028506733,0.002114816,0.009673526,-2.266475751
ZNF845,91664,-0.058539335,3.116666816,-5.472253775,0.001359004,0.00762381,-1.769127503
NCOR1P1///NCOR1,149934///9611,-0.05866315,3.217160312,-5.750529034,0.001042916,0.006672203,-1.470609259
STPG1,90529,-0.058677151,2.840337884,-5.468455117,0.001364013,0.007643107,-1.773272348
SUCNR1,56670,-0.058712176,3.279577556,-5.547798855,0.001263587,0.007330813,-1.687092329
PREPL,9581,-0.058757415,3.172008673,-10.27037319,3.82E-05,0.001214544,2.280312679
MTIF3,219402,-0.058822649,3.035335952,-6.714794899,4.46E-04,0.004417294,-0.509427611
IRAK3,11213,-0.05883845,3.350086146,-11.57380747,1.87E-05,7.57E-04,3.089370141
ZNF623,9831,-0.05891304,2.952979453,-11.73703,1.72E-05,7.34E-04,3.184588582
PTPN22,26191,-0.058955276,3.314522613,-7.384649741,2.61E-04,0.003393311,0.098177863
WDPCP,51057,-0.058973987,2.848414603,-5.598055182,0.001204318,0.00716106,-1.632932141
MPHOSPH9,10198,-0.059030027,3.049058567,-6.260089581,6.57E-04,0.00532418,-0.94911897
MGME1///MGME1,92667///92667,-0.059092291,3.040969366,-6.120007715,7.44E-04,0.005658953,-1.089350012
LYRM7,90624,-0.059105757,2.835980591,-4.191900373,0.005238015,0.016942429,-3.279701307
CD96,10225,-0.059111457,3.113324576,-6.867065454,3.93E-04,0.004127611,-0.367257898
CRIPT,9419,-0.059177016,3.250028966,-6.304642987,6.32E-04,0.005231457,-0.905000563
NDUFS4,4724,-0.05920033,3.227510635,-7.435424779,2.51E-04,0.003329996,0.142416396
WDR73,84942,-0.059206735,3.011619649,-12.12297047,1.41E-05,6.18E-04,3.404811532
ASF1A,25842,-0.059242927,3.235689298,-8.106645912,1.53E-04,0.002636248,0.705058413
CEP55,55165,-0.059249333,2.884091453,-4.91008856,0.002390156,0.010354011,-2.40379092
UBA3,9039,-0.059326614,3.389215235,-11.23555886,2.23E-05,8.61E-04,2.887935755
BDH1,622,-0.059345233,3.066105832,-7.106905101,3.24E-04,0.003764516,-0.148239193
POLH,5429,-0.059382239,3.09121049,-11.57773226,1.87E-05,7.57E-04,3.091674633
INTS7,25896,-0.059389491,3.204114111,-9.251563171,7.08E-05,0.001776513,1.579368746
C17orf75,64149,-0.059429408,2.86086567,-4.827425998,0.002606291,0.010911492,-2.500819015
SHPRH,257218,-0.059533812,2.978419565,-5.75734414,0.001036297,0.006648852,-1.463423258
ZNF799,90576,-0.059547283,2.906984494,-7.029352576,3.45E-04,0.00386685,-0.218414111
FAM175A,84142,-0.05968103,2.80991641,-5.447033468,0.001392655,0.007745521,-1.796681982
NET1,10276,-0.059752791,2.919562596,-7.676420726,2.09E-04,0.003076791,0.349089244
KDM4A,9682,-0.059764458,3.100316751,-5.597748663,0.00120467,0.00716106,-1.633261474
MID1IP1,58526,-0.059783816,3.167553467,-9.658242074,5.49E-05,0.001534492,1.867131232
LSM6,11157,-0.05979586,2.951695564,-6.832180498,4.05E-04,0.004189581,-0.399611438
BRD8,10902,-0.059876203,2.876494816,-14.21565159,5.39E-06,3.09E-04,4.492075137
ZNF587,84914,-0.059900586,2.872552858,-5.70974849,0.001083542,0.006802683,-1.513732431
NDP,4693,-0.05993259,3.238537337,-9.063880786,7.98E-05,0.001882987,1.442753532
DNAJC5B,85479,-0.059944369,3.071223375,-6.711255751,4.47E-04,0.004425094,-0.512761465
IKBIP,121457,-0.05995253,2.96302985,-3.686429323,0.009526382,0.025049588,-3.940930212
TMEM86A,144110,-0.059955076,3.005640351,-7.207388015,2.99E-04,0.003646803,-0.058213921
EHHADH,1962,-0.059956317,2.791943574,-4.221134295,0.005065921,0.016615944,-3.242583134
VRK1,7443,-0.05997796,3.050524727,-3.595784082,0.010648909,0.026947638,-4.063283087
SLC35D2,11046,-0.059988735,3.113661915,-9.36905829,6.57E-05,0.001687193,1.663648966
ARL11,115761,-0.05998884,3.203724375,-8.917563652,8.78E-05,0.001957406,1.334507648
HERC2P9///HERC2P2///HERC2P3///HERC2,440248///400322///283755///8924,-0.060027024,3.115151676,-8.371728447,1.27E-04,0.002360192,0.916546921
PTPN4,5775,-0.060031964,2.792267166,-3.179750356,0.018041298,0.039192659,-4.638205039
ELMOD2,255520,-0.06004972,3.055296496,-5.844668679,9.56E-04,0.006398233,-1.371864655
C17orf80,55028,-0.060129282,2.96735861,-5.576236265,0.001229654,0.007236324,-1.656405536
COMMD3-BMI1///BMI1///COMMD3-BMI1///BMI1,100532731///648///100532731///648,-0.060145941,3.245408165,-8.574180888,1.10E-04,0.002197637,1.07424759
EPM2A,7957,-0.060152492,2.835578219,-4.609786873,0.00328843,0.012607752,-2.760955466
LY6G5B,58496,-0.0601936,2.991666891,-5.531215227,0.001283865,0.007392337,-1.705036475
TMEM116,89894,-0.0601957,3.060309745,-7.290170831,2.81E-04,0.003492028,0.015202967
ZNF43,7594,-0.060214402,2.803017705,-3.513280394,0.011798072,0.028949357,-4.175594147
SH3TC1,54436,-0.060218585,2.979409715,-6.174006772,7.09E-04,0.005548336,-1.035018828
PPIH,10465,-0.060288775,2.935506488,-5.069484854,0.00202801,0.009461362,-2.21941612
ZWILCH,55055,-0.060307147,3.151530633,-7.503799755,2.38E-04,0.003229613,0.201603052
TRMT61B,55006,-0.060348441,2.969447761,-5.701714221,0.001091755,0.006828711,-1.5222532
GTPBP8,29083,-0.060388912,2.940746864,-5.582723087,0.001222059,0.007223027,-1.64942037
C20orf194,25943,-0.060452396,3.241475196,-9.568299058,5.81E-05,0.001575548,1.804435098
USP40,55230,-0.060514177,2.975179319,-6.266912252,6.53E-04,0.005307752,-0.94234794
PARP16,54956,-0.060532709,3.137111756,-8.584823946,1.10E-04,0.002194811,1.082448995
ZNF613,79898,-0.060601103,2.869216004,-7.1810694,3.06E-04,0.003669124,-0.081696286
BLMH,642,-0.060716246,3.131067184,-12.98504949,9.34E-06,4.69E-04,3.873339274
COA5,493753,-0.060723275,2.885510245,-7.531165413,2.33E-04,0.003223033,0.225168186
PCID2,55795,-0.060771443,2.809993891,-5.7353506,0.001057831,0.006715762,-1.486634911
CEP70,80321,-0.060786632,2.916686911,-4.066430763,0.00605438,0.018609193,-3.440420756
CEP19,84984,-0.060840047,2.926362361,-4.180499479,0.005306888,0.017089582,-3.294210708
GEMIN6,79833,-0.060848672,2.820492361,-7.63630655,2.16E-04,0.003134763,0.315060611
BCCIP,56647,-0.060859916,3.030686675,-7.146742264,3.14E-04,0.003718009,-0.112427518
SEPSECS,51091,-0.060872031,3.141037079,-11.45429199,1.99E-05,7.91E-04,3.018838563
NIF3L1,60491,-0.060872214,3.086171093,-10.7191379,2.96E-05,0.001022463,2.569141322
BCL2L2-PABPN1///BCL2L2,100529063///599,-0.060876598,2.88770107,-8.206998946,1.42E-04,0.002535343,0.785803755
LYAR,55646,-0.060897412,2.929840713,-4.894945968,0.002428191,0.010442049,-2.421492523
C16orf54,283897,-0.060897851,3.213881415,-12.56127735,1.14E-05,5.41E-04,3.646909442
C16orf54,283897,-0.060897851,3.213881415,-12.56127735,1.14E-05,5.41E-04,3.646909442
MTX3,345778,-0.060943879,2.945712789,-6.296409748,6.37E-04,0.005244237,-0.913136053
METTL25,84190,-0.061003634,2.960003433,-9.579698303,5.77E-05,0.00156908,1.812410333
ZCCHC4,29063,-0.061010401,3.078583294,-10.29860702,3.76E-05,0.001202733,2.29882356
NME6,10201,-0.061044475,3.023869846,-7.173781683,3.08E-04,0.003682371,-0.088210779
RPE,6120,-0.061127131,3.152481613,-6.002453737,8.27E-04,0.005943118,-1.208835664
ABHD18,80167,-0.061133739,3.065002957,-8.445931455,1.21E-04,0.002304902,0.974724025
