Gene.symbol,Gene.ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZCCHC6,79670,0.05052842,3.389687146,10.60189318,3.16E-05,0.001058215,2.494775163
EMID1,129080,0.050517932,2.897194954,4.322838382,0.004514567,0.01545963,-3.114421011
LINC01597///FAM27B,400841///100133121,0.050452093,2.830681716,4.959445568,0.002270761,0.010055113,-2.346317809
UTF1,8433,0.050399774,3.152914471,5.520577386,0.001297067,0.007428076,-1.716566008
AMZ2P1,201283,0.050347586,3.12927839,2.710936412,0.033658383,0.062316748,-5.307109819
ZNF260,339324,0.050306924,3.261938565,9.987573961,4.51E-05,0.001359132,2.092289228
NPPC,4880,0.050306452,3.193565769,5.059384176,0.002049027,0.009518187,-2.230994088
RARA///BCOR,5914///54880,0.050292453,3.107668715,9.868320484,4.84E-05,0.001422016,2.011544644
USP36,57602,0.050279582,3.138695811,10.32293264,3.70E-05,0.001197381,2.314734807
P2RX4,5025,0.050233959,3.458611691,12.28353124,1.31E-05,5.87E-04,3.494459967
KRTAP4-7///KRTAP4-9///KRTAP4-8///KRTAP4-11///KRTAP4-5///KRTAP4-4///KRTAP4-12///KRTAP4-6///KRTAP4-7,100132476///100132386///728224///653240///85289///84616///83755///81871///100132476,0.050216953,3.114468362,4.701003098,0.002980707,0.011872692,-2.651098572
PRSS30P,124221,0.050201551,2.918134622,4.583027347,0.003385353,0.012845393,-2.793411753
SEC1P,653677,0.050161293,2.82086568,3.652776701,0.009927149,0.02572306,-3.986225406
KCNK15,60598,0.050124436,3.100442151,5.283005609,0.001635985,0.008401289,-1.977962117
F7,2155,0.050124123,2.787076589,2.619934388,0.038110958,0.068457216,-5.438560653
CCL23,6368,0.050105944,2.934343088,3.486719638,0.012196488,0.029635181,-4.211938701
GPBAR1,151306,0.050060206,2.863632607,4.451672693,0.003910022,0.014101839,-2.954238258
NPW,283869,0.050055467,2.966439601,3.581046736,0.010844811,0.027250605,-4.083279328
SSX8,280659,0.050042405,2.816730602,3.17858152,0.018068693,0.039239077,-4.6398486
SNHG17,388796,0.049942592,3.106098977,9.848595094,4.90E-05,0.001431451,1.998103697
MT3,4504,0.049931512,3.017775625,3.786473826,0.008436637,0.023064257,-3.807189491
SFTPD,6441,0.049926447,2.87758035,3.993987848,0.006589607,0.019582524,-3.53425376
DHX58,79132,0.049893461,3.258611577,5.798048453,9.98E-04,0.006519636,-1.420625973
INMT-FAM188B///INMT,100526825///11185,0.049866316,2.837235502,3.112914687,0.019682695,0.04182044,-4.732413028
C2CD4A,145741,0.049851042,2.985669842,5.772685223,0.00102157,0.006604968,-1.447268788
CBARP,255057,0.04984391,3.133346094,9.889194205,4.78E-05,0.001406796,2.025741589
WNT10A,80326,0.049816895,2.943529509,5.694456675,0.001099236,0.006844936,-1.529957301
MACROD1,28992,0.049742517,2.957548164,4.57537261,0.003413665,0.012920156,-2.802715177
ZNF212,7988,0.049722033,2.928149703,4.682719478,0.003039702,0.012008108,-2.673022355
SOX3,6658,0.049721409,3.17773991,4.321851784,0.004519583,0.015469818,-3.115657018
FOXD4L5///FOXD4L6///FOXD4L3///FOXD4L1///FOXD4,653427///653404///286380///200350///2298,0.049711979,2.895639076,5.515758466,0.001303097,0.007449499,-1.721793748
FOXD4L5///FOXD4L6///FOXD4L3///FOXD4L1///FOXD4,653427///653404///286380///200350///2298,0.049711979,2.895639076,5.515758466,0.001303097,0.007449499,-1.721793748
YTHDC1,91746,0.049706964,3.260776112,9.039820314,8.11E-05,0.001899047,1.425059545
AIRE,326,0.049664854,3.03931739,4.003848203,0.006513757,0.019455641,-3.521437507
LOC101929829///CYP2D6,101929829///1565,0.049576361,2.898408583,3.201717363,0.017534743,0.03839693,-4.607343067
GATA4,2626,0.049571283,2.876409571,4.504681707,0.003688043,0.013586122,-2.889033667
RPL3L,6123,0.049566791,2.87450465,3.141664248,0.018957608,0.040618614,-4.691833215
HIVEP1,3096,0.049563851,3.416925629,7.018846152,3.48E-04,0.003888189,-0.227968052
DLL1,28514,0.049520716,2.896012345,3.910090803,0.007276123,0.020958276,-3.643864641
C19orf33,64073,0.049515433,3.008549828,5.278274861,0.001643684,0.008425386,-1.983244179
ADRA2C,152,0.049465858,2.982059386,5.344456749,0.001539591,0.008149833,-1.909624559
TP73,7161,0.049428001,2.827691773,5.285407541,0.001632092,0.008393227,-1.975281428
POU5F2,134187,0.049405228,2.863769143,3.732754917,0.009003581,0.024150798,-3.878830157
GRIN2D,2906,0.049366803,2.942490031,4.588389896,0.003365676,0.012790938,-2.786899271
VSX2,338917,0.049339855,2.910789113,4.37471015,0.004259415,0.014859554,-3.049636321
CYHR1,50626,0.049241622,2.942603653,7.797578137,1.91E-04,0.002968507,0.450982608
NAV2,89797,0.049185137,3.099558372,5.706744193,0.001086605,0.006811771,-1.516917682
SELENBP1,8991,0.049134337,2.813349516,5.144490899,0.00187933,0.009056696,-2.133882955
CHST7,56548,0.049127316,3.16551592,6.916748755,3.78E-04,0.004047353,-0.321400196
NRARP,441478,0.049086378,2.932846291,7.344120586,2.69E-04,0.003431527,0.062689169
EMX1,2016,0.049084222,3.064155067,4.576104582,0.003410946,0.012916269,-2.801825185
PRDM8,56978,0.049048303,2.943836521,6.337081717,6.15E-04,0.005151617,-0.873023237
POU3F1,5453,0.04903235,3.059124903,3.997769863,0.006560399,0.019522121,-3.529336336
TNNT3,7140,0.049014233,3.008330863,4.274109253,0.004769899,0.01599129,-3.175638546
AOC3,8639,0.049004752,3.012059526,4.190839072,0.005244384,0.016953246,-3.281051178
BICDL2,146439,0.04899468,2.856705243,6.420631483,5.72E-04,0.004974218,-0.791218172
CA4,762,0.04898502,2.832132528,4.735265215,0.002873587,0.011547465,-2.610144614
ANKRD53,79998,0.04897729,2.844020061,3.874440953,0.007591548,0.02156457,-3.690744616
KCNK3,3777,0.048944367,2.792609878,3.444024998,0.012868186,0.030854651,-4.270547992
FOXE1,2304,0.048914261,2.811958403,3.918231228,0.007206152,0.020835259,-3.633185203
MIR219A1,407002,0.048867352,2.814168837,2.31018725,0.058528272,0.095909926,-5.886637625
LCE2A,353139,0.048835013,3.078640446,4.297533237,0.004645203,0.01573355,-3.146168152
EPB41L4A-AS1,114915,0.04881849,2.899015527,5.520769888,0.001296826,0.007428076,-1.716357238
TMEM190,147744,0.048811569,2.877462311,3.148713602,0.018784272,0.040370698,-4.681895872
HLA-L,3139,0.048800049,2.945413062,4.473047386,0.003818762,0.013882129,-2.927896733
HLA-L,3139,0.048800049,2.945413062,4.473047386,0.003818762,0.013882129,-2.927896733
AGVR6190,643797,0.048729335,3.054591877,2.931878162,0.02499668,0.049987857,-4.989722152
HNF1A,6927,0.048693371,2.808603518,3.111254476,0.019725474,0.04188487,-4.734758931
ZXDA,7789,0.048680801,3.374182669,3.712232889,0.009231168,0.024538124,-3.906303931
MXD1,4084,0.048656472,3.461464988,8.691012806,1.02E-04,0.00210836,1.163798721
MEGF11,84465,0.04864565,2.875381435,7.142014216,3.15E-04,0.003718009,-0.116669491
PLXNB3,5365,0.048631122,2.824806954,5.255609513,0.001681145,0.008533832,-2.008593063
PRSS27,83886,0.048568581,3.119918559,5.085292196,0.001995604,0.009377347,-2.201325337
CAMP,820,0.048556982,2.799826902,3.439663726,0.01293905,0.030967152,-4.27654785
GSG1L,146395,0.048510551,2.854263456,3.360330531,0.014305551,0.033280426,-4.386096605
ARID5A,10865,0.048492828,3.374620823,6.037553476,8.01E-04,0.005844848,-1.172984397
WNT7B,7477,0.048465919,2.836921362,6.000462264,8.29E-04,0.005948764,-1.210874267
IL6R,3570,0.048465464,3.397919232,10.79377752,2.84E-05,0.001005122,2.616091719
GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2B///GAGE2E///GAGE6///GAGE5///GAGE4///GAGE2C///GAGE1,100132399///100101629///100008586///729447///729442///729431///729428///729422///729408///729396///645073///645051///645037///26749///2578///2577///2576///2574///2543,0.048464395,3.131163147,2.814282896,0.029263405,0.056203521,-5.158275097
TM4SF5,9032,0.048454102,2.894596872,3.638745041,0.010099709,0.026004045,-4.005156726
COL20A1,57642,0.048438816,2.91664071,4.049076345,0.006178051,0.018838461,-3.462830428
IL7R,3575,0.048407595,3.559885391,9.771217673,5.13E-05,0.001461704,1.945142185
ADRB1,153,0.048383099,3.00877939,3.30461672,0.015359245,0.03497843,-4.463482372
PLAGL2,5326,0.048378375,3.155063303,9.691748839,5.38E-05,0.001510947,1.890353459
ZSCAN10,84891,0.048354544,2.797341543,2.643401332,0.03690606,0.066914838,-5.404635951
HAGHL,84264,0.04835356,3.074891828,3.041707209,0.021611127,0.044861311,-4.833269333
LIME1,54923,0.048344502,3.053780866,5.609152729,0.001191659,0.00713923,-1.621016801
ZNF644,84146,0.048255706,3.30763833,6.43795515,5.63E-04,0.004940254,-0.774355815
POMC,5443,0.048240869,2.824230802,3.093439018,0.020190925,0.042584003,-4.759949488
SMAD3,4088,0.048234945,2.891867422,3.964064629,0.006825855,0.020042456,-3.573232699
F10,2159,0.04822284,2.862193198,4.798472115,0.00268713,0.011103148,-2.535034635
SLC13A5,284111,0.04818672,2.868121267,4.992434174,0.002194709,0.009874137,-2.308095995
NFKBIE,4794,0.048180396,3.401639093,11.61557983,1.83E-05,7.57E-04,3.113859412
ADRA1B,147,0.048144785,2.890247528,7.184054457,3.05E-04,0.003669124,-0.079029464
LOC162137,162137,0.048128669,2.838356787,4.144541996,0.005530804,0.017561098,-3.340096068
CTAG2,30848,0.048120826,3.161824741,5.846866179,9.54E-04,0.006398233,-1.369572947
